checkpoint,perturbation_type,subtype,layer_idx,head_idx,seed,baseline_loss,perturbed_loss,delta,elapsed_sec
512,head,output_zeroing,11,12,-1,6.826264839172364,6.82621171951294,7.78165815061552e-06,3.0680456161499023
512,head,output_zeroing,11,15,-1,6.826264839172364,6.825778064727783,7.130904763430087e-05,3.0669260025024414
512,head,output_zeroing,12,0,-1,6.826264839172364,6.826413974761963,-2.184731959763583e-05,3.068089008331299
512,head,output_zeroing,12,3,-1,6.826264839172364,6.826772861480713,-7.442171089431287e-05,3.069138526916504
512,head,output_zeroing,12,6,-1,6.826264839172364,6.826116485595703,2.1732760177913118e-05,3.0715489387512207
512,head,output_zeroing,12,9,-1,6.826264839172364,6.826502418518066,-3.48037105649637e-05,3.074090003967285
512,head,output_zeroing,12,12,-1,6.826264839172364,6.826478309631348,-3.1271927476244046e-05,3.083479166030884
512,head,output_zeroing,12,15,-1,6.826264839172364,6.826065673828125,2.9176328333486504e-05,3.0857362747192383
512,head,output_zeroing,13,0,-1,6.826264839172364,6.8266583442687985,-5.764574122243915e-05,3.0843615531921387
512,head,output_zeroing,13,3,-1,6.826264839172364,6.8261350440979,1.90140695565454e-05,3.085608959197998
512,head,output_zeroing,13,6,-1,6.826264839172364,6.826961364746094,-0.00010203611933321197,3.0859954357147217
512,head,output_zeroing,13,9,-1,6.826264839172364,6.825604190826416,9.678035668296423e-05,3.089354991912842
512,head,output_zeroing,13,12,-1,6.826264839172364,6.827579860687256,-0.00019264144387510788,3.0871458053588867
512,head,output_zeroing,13,15,-1,6.826264839172364,6.825957775115967,4.4982734135193626e-05,3.0882370471954346
512,head,output_zeroing,14,0,-1,6.826264839172364,6.826723690032959,-6.721843810721762e-05,3.0917809009552
512,head,output_zeroing,14,3,-1,6.826264839172364,6.826893539428711,-9.210018526371835e-05,3.090796709060669
512,head,output_zeroing,14,6,-1,6.826264839172364,6.826774597167969,-7.467597692369155e-05,3.0932936668395996
512,head,output_zeroing,14,9,-1,6.826264839172364,6.8264713478088375,-3.02520692266013e-05,3.0921244621276855
512,head,output_zeroing,14,12,-1,6.826264839172364,6.823530864715576,0.0004005081140565348,3.0962324142456055
512,head,output_zeroing,14,15,-1,6.826264839172364,6.827302932739258,-0.000152073438601009,3.0926029682159424
512,head,output_zeroing,15,0,-1,6.826264839172364,6.826408386230469,-2.102863886576755e-05,3.0980875492095947
512,head,output_zeroing,15,3,-1,6.826264839172364,6.826606483459472,-5.004849579643938e-05,3.0939385890960693
512,head,output_zeroing,15,6,-1,6.826264839172364,6.825803489685058,6.758446942432105e-05,3.095651149749756
512,head,output_zeroing,15,9,-1,6.826264839172364,6.826185836791992,1.1573295533230191e-05,3.094684600830078
512,head,output_zeroing,15,12,-1,6.826264839172364,6.82679069519043,-7.703422449247217e-05,3.0945749282836914
512,head,output_zeroing,15,15,-1,6.826264839172364,6.826363945007325,-1.4518310861915274e-05,3.0956966876983643
512,head,output_zeroing,16,0,-1,6.826264839172364,6.825970611572266,4.310228317098097e-05,3.095597505569458
512,head,output_zeroing,16,3,-1,6.826264839172364,6.826314430236817,-7.264743695343875e-06,3.0976953506469727
512,head,output_zeroing,16,6,-1,6.826264839172364,6.826365261077881,-1.4711105983045325e-05,3.0960514545440674
