checkpoint,perturbation_type,subtype,layer_idx,head_idx,seed,baseline_loss,perturbed_loss,delta,elapsed_sec
512,type_a,block_noise,4,-1,42028,6.36227331161499,6.637011013031006,-0.0431823167537386,1.2178900241851807
512,type_a,block_noise,5,-1,42029,6.36227331161499,6.511660442352295,-0.023480149849045884,1.2157642841339111
1000,head,output_zeroing,0,0,-1,4.832245903015137,4.833025512695312,-0.0001613348525348995,1.2110891342163086
1000,head,output_zeroing,0,1,-1,4.832245903015137,4.831810359954834,9.013263584768105e-05,1.2113606929779053
1000,head,output_zeroing,0,2,-1,4.832245903015137,4.832733573913575,-0.00010092013283792775,1.2084996700286865
1000,head,output_zeroing,0,3,-1,4.832245903015137,4.832029647827149,4.47525213592986e-05,1.2084670066833496
1000,head,output_zeroing,0,4,-1,4.832245903015137,4.8326167869567875,-7.675187668312336e-05,1.2074434757232666
1000,head,output_zeroing,0,5,-1,4.832245903015137,4.832116470336914,2.6785201088720777e-05,1.2076168060302734
1000,head,output_zeroing,0,6,-1,4.832245903015137,4.832262153625488,-3.362951860843478e-06,1.2083349227905273
1000,head,output_zeroing,0,7,-1,4.832245903015137,4.831816902160645,8.877877142476654e-05,1.2066433429718018
1000,head,output_zeroing,0,8,-1,4.832245903015137,4.831341724395752,0.00018711353634140131,1.2093243598937988
1000,head,output_zeroing,0,9,-1,4.832245903015137,4.833391914367676,-0.0002371591544676381,1.2109055519104004
1000,head,output_zeroing,0,10,-1,4.832245903015137,4.837158584594727,-0.001016645609141042,1.2140543460845947
1000,head,output_zeroing,0,11,-1,4.832245903015137,4.833832302093506,-0.00032829436047102914,1.2128586769104004
1000,head,output_zeroing,1,0,-1,4.832245903015137,4.834156551361084,-0.0003953955126238627,1.2108066082000732
1000,head,output_zeroing,1,1,-1,4.832245903015137,4.835130214691162,-0.0005968884311590226,1.210181474685669
1000,head,output_zeroing,1,2,-1,4.832245903015137,4.833397350311279,-0.00023828408554788414,1.2107384204864502
1000,head,output_zeroing,1,3,-1,4.832245903015137,4.832603836059571,-7.407177772359255e-05,1.2157392501831055
1000,head,output_zeroing,1,4,-1,4.832245903015137,4.833214550018311,-0.00020045482424013378,1.2142155170440674
1000,head,output_zeroing,1,5,-1,4.832245903015137,4.8321044921875,2.926399659188132e-05,1.2127268314361572
1000,head,output_zeroing,1,6,-1,4.832245903015137,4.832072887420654,3.58043853634178e-05,1.2127923965454102
1000,head,output_zeroing,1,7,-1,4.832245903015137,4.833020267486572,-0.0001602493927206625,1.214850902557373
1000,head,output_zeroing,1,8,-1,4.832245903015137,4.836135063171387,-0.0008048349016806831,1.2169132232666016
1000,head,output_zeroing,1,9,-1,4.832245903015137,4.833617897033691,-0.00028392471039155847,1.2162132263183594
1000,head,output_zeroing,1,10,-1,4.832245903015137,4.836657543182373,-0.0009129585405583635,1.2148809432983398
1000,head,output_zeroing,1,11,-1,4.832245903015137,4.833040313720703,-0.00016439782277444207,1.2143430709838867
1000,head,output_zeroing,2,0,-1,4.832245903015137,4.839770393371582,-0.0015571414426054596,1.2159035205841064
1000,head,output_zeroing,2,1,-1,4.832245903015137,4.841982192993164,-0.002014858137072967,1.2172174453735352
1000,head,output_zeroing,2,2,-1,4.832245903015137,4.833479747772217,-0.00025533567244797185,1.2127771377563477
1000,head,output_zeroing,2,3,-1,4.832245903015137,4.848314228057862,-0.003325229171946508,1.2131574153900146
1000,head,output_zeroing,2,4,-1,4.832245903015137,4.835827083587646,-0.000741100648515202,1.2136647701263428
1000,head,output_zeroing,2,5,-1,4.832245903015137,4.831492519378662,0.00015590755346389824,1.2124004364013672
1000,head,output_zeroing,2,6,-1,4.832245903015137,4.859971752166748,-0.0057376734769047245,1.2132585048675537
1000,head,output_zeroing,2,7,-1,4.832245903015137,4.834064617156982,-0.0003763703624251622,1.2156703472137451
1000,head,output_zeroing,2,8,-1,4.832245903015137,4.833440608978272,-0.00024723616867045777,1.215386152267456
1000,head,output_zeroing,2,9,-1,4.832245903015137,4.835241794586182,-0.0006199791217527918,1.2131357192993164
1000,head,output_zeroing,2,10,-1,4.832245903015137,4.837192325592041,-0.0010236280760915117,1.2161865234375
1000,head,output_zeroing,2,11,-1,4.832245903015137,4.8358485221862795,-0.0007455372188105717,1.215939998626709
1000,head,output_zeroing,3,0,-1,4.832245903015137,5.290661907196045,-0.09486603401016362,1.2124884128570557
1000,head,output_zeroing,3,1,-1,4.832245903015137,4.873219833374024,-0.008479272615932232,1.2144925594329834
1000,head,output_zeroing,3,2,-1,4.832245903015137,4.9576669120788575,-0.025955013792957587,1.2138035297393799
1000,head,output_zeroing,3,3,-1,4.832245903015137,4.836503276824951,-0.0008810341806400478,1.213529109954834
