model,checkpoint,layer_idx,head_idx,class,OV_PR,QK_PR,OV_entropy,QK_entropy,abs_delta_this_ckpt
410M,2000,16,3,emergent,30.468707594433535,29.443715327270752,3.7281413078308105,3.8186588287353516,0.00060460085861
410M,2000,16,6,emergent,45.35012847847251,26.39113251775029,3.972456693649292,3.7643330097198486,3.035743237256399e-05
410M,2000,16,9,never,32.94774453324799,20.909541088125973,3.8287434577941895,3.6852035522460938,4.692158212139755e-05
410M,2000,16,12,emergent,26.212775242873228,23.677475395811125,3.5882935523986816,3.7087202072143555,0.0020172053565802
410M,2000,16,15,growing,20.212656392084657,25.338085368010606,3.3983378410339355,3.7517189979553223,0.0019522144333304
410M,2000,17,0,growing,36.941758794799526,20.458919176046596,3.868317127227783,3.681117534637451,0.0001443833109752
410M,2000,17,3,never,41.89700047288909,30.633504892603103,3.939361095428467,3.8320815563201904,8.00898008918515e-05
410M,2000,17,6,emergent,32.61951516370451,24.30393485249134,3.8579280376434326,3.72617244720459,7.624580980254085e-06
410M,2000,17,9,never,45.52492980255761,33.02108283618664,3.9740445613861084,3.874124050140381,1.8982788002696463e-05
410M,2000,17,12,never,30.839033727409,27.156604212429443,3.787003517150879,3.7564384937286377,0.0001757363769591
410M,2000,17,15,emergent,27.662039285390737,27.82257952802371,3.7312850952148438,3.771632194519043,3.4898836627512e-05
410M,2000,18,0,emergent,42.39436749710167,22.312793499642666,3.9393680095672607,3.6913466453552246,8.389622090080214e-05
410M,2000,18,3,never,46.72901015158067,33.66397743184775,3.9877824783325195,3.9010984897613525,1.6838888269113873e-05
410M,2000,18,6,emergent,42.8310292466268,21.101911504435986,3.9422731399536133,3.692002773284912,2.341147901809531e-06
410M,2000,18,9,never,45.01830283913053,25.85806185865694,3.967747211456299,3.7934560775756836,5.127278278583648e-05
410M,2000,18,12,growing,32.28207012945131,21.61210119517968,3.7578535079956055,3.716949224472046,0.0004096046069356
410M,2000,18,15,growing,37.74387090379589,35.36513018038396,3.909675359725952,3.9124670028686523,2.0288383021314565e-05
410M,2000,19,0,never,43.76538733318746,38.700996675870655,3.9600884914398193,3.9462029933929443,3.5178271532427274e-05
410M,2000,19,3,growing,19.472857593565596,15.688748471305638,3.5637435913085938,3.5684566497802734,0.0001895977571643
410M,2000,19,6,growing,23.017160440299484,27.193006200997555,3.595583915710449,3.8104710578918457,3.859723978242319e-05
410M,2000,19,9,emergent,21.956964975078417,19.506451053082785,3.486072540283203,3.6219584941864014,0.0016030006405775
410M,2000,19,12,emergent,27.10012343702458,23.564940160127936,3.6789517402648926,3.712019443511963,0.000394031394413
410M,2000,19,15,never,42.596639442627506,21.251471403459657,3.9400076866149902,3.7455086708068848,3.876396144844536e-05
410M,2000,20,0,never,42.00006439822971,20.757776650183168,3.9250364303588867,3.7005980014801025,3.90504409306411e-06
410M,2000,20,3,never,40.92855524543057,22.78528561863656,3.9306955337524414,3.752422332763672,4.496553778611591e-05
410M,2000,20,6,growing,28.43824323781506,28.172809856247564,3.75085186958313,3.8294012546539307,1.812804594183768e-06
410M,2000,20,9,emergent,42.64124748124352,25.400999085218693,3.9525701999664307,3.8057076930999756,9.818732032973488e-05
410M,2000,20,12,never,36.251129614725805,33.05541315135424,3.896364212036133,3.8938727378845215,1.7120671366674655e-05
410M,2000,20,15,never,45.00206421015991,30.11891008215127,3.970071792602539,3.856630802154541,3.768848929290449e-05
410M,2000,21,0,never,36.50256068712139,25.475355850954823,3.866701364517212,3.8027777671813965,0.0004763942456248
410M,2000,21,3,never,44.784013596569764,27.102940159568963,3.963264226913452,3.846132278442383,1.1412215448040606e-06
410M,2000,21,6,never,27.678671327762807,24.391395047177937,3.721973419189453,3.738537073135376,0.0002613913940267
410M,2000,21,9,never,43.806891562035425,22.74815010310429,3.9545295238494873,3.7912611961364746,2.6384290697372488e-05
410M,2000,21,12,never,35.70219346964292,30.205146544212965,3.8915796279907227,3.874533176422119,5.445927998010966e-05
410M,2000,21,15,never,40.69464061477812,38.96192717207145,3.929190158843994,3.9598946571350098,8.093045379946151e-05
410M,2000,22,0,never,37.732963568321445,17.459366323402552,3.8721601963043213,3.646738052368164,7.290198371260886e-05
410M,2000,22,3,growing,27.10275505114996,17.67832180688408,3.681365489959717,3.6559953689575195,0.0009165746668335
410M,2000,22,6,growing,32.494331022513016,18.762634895669194,3.8321075439453125,3.640658140182495,3.850331208316337e-05
410M,2000,22,9,never,44.00935082886964,25.89219663150898,3.9603073596954346,3.8387908935546875,1.8574202511681651e-06
410M,2000,22,12,never,41.11924358390192,31.541827585379654,3.922290563583374,3.8861727714538574,3.872404217631461e-05
410M,2000,22,15,never,43.59870225192446,26.509876527765805,3.9516396522521973,3.8108458518981934,1.8456792888153605e-06
410M,2000,23,0,never,42.59717537090548,46.56431003461436,3.949953317642212,4.024603843688965,0.0001655006059418
410M,2000,23,3,never,29.653825349508608,39.760239859730426,3.842393398284912,3.9651541709899902,5.358105599301442e-05
410M,2000,23,6,never,27.82934464538262,26.65334816734416,3.746802806854248,3.822617530822754,0.0003126007756155
410M,2000,23,9,never,41.99842673266322,33.097768748764935,3.9459309577941895,3.9167568683624268,7.072051289932234e-05
410M,2000,23,12,never,17.397935647156903,12.761756826207387,3.4036366939544678,3.4452707767486572,0.0023592923851584
410M,2000,23,15,never,22.706628372790142,29.456470281599945,3.6545357704162598,3.8541085720062256,7.404555345005845e-05
410M,4000,0,0,emergent,31.762265714874214,21.82048726903229,3.778229236602783,3.647646903991699,0.0001421278302845
410M,4000,0,3,never,41.03970663422282,32.78031540788981,3.925321102142334,3.8331656455993652,7.648591229931716e-05
410M,4000,0,6,emergent,40.21729263945276,35.22094261019374,3.912442445755005,3.86741042137146,9.833518988574789e-05
410M,4000,0,9,born,32.27719394770091,17.4878499955234,3.777280330657959,3.6263175010681152,0.0003360562977604
410M,4000,0,12,growing,33.14949987646187,27.899437250376753,3.824043035507202,3.764708995819092,4.527112251898779e-05
410M,4000,0,15,growing,41.21775594311445,36.0645821182041,3.923903465270996,3.8690667152404785,0.0004336334295409
410M,4000,1,0,never,32.093905886438904,30.473409132889017,3.8126280307769775,3.8256258964538574,3.295402238341581e-05
410M,4000,1,3,emergent,18.53190862155733,28.414361471557072,3.4337639808654785,3.749659299850464,0.0014804175876513
410M,4000,1,6,growing,38.265901593761626,41.35898942623108,3.875965118408203,3.948704242706299,0.0023252948511354
410M,4000,1,9,growing,33.883716620428274,34.610791062874505,3.8384361267089844,3.891239643096924,0.0008817667364566
