layer_idx,head_idx,class,abs_delta,random_control,OV_PR,QK_PR,OV_entropy,QK_entropy,emergent_dummy,log_abs_delta
5,4,growing,0.0035158983617904,0.7586624928308812,44.04247674203765,47.880991540213806,3.992063045501709,3.9395406246185303,1,-5.650460206917646
5,5,growing,0.0228336186156852,-0.13242155193311636,50.188127996850945,40.008266013787136,4.026707649230957,3.882401943206787,1,-3.779521328342518
5,6,never,8.689143645128458e-05,-0.6237235483950675,30.556856538400485,44.00337230327656,3.884711980819702,3.8702852725982666,0,-9.350851075413182
5,7,emergent,0.0005225676105084,-0.6576133021042132,21.11037338775844,45.13104063934811,3.7293591499328613,3.9443163871765137,1,-7.556756184394319
5,8,growing,0.0115667552213182,-0.5190520316807467,38.754044675917584,36.35416371745024,3.888960361480713,3.8529884815216064,1,-4.459620224704994
5,9,born,0.0005978474413448,-1.204970792071176,19.443670663313767,45.695434989665785,3.7575511932373047,3.9430630207061768,0,-7.422174951368987
5,10,growing,0.0032200802353443,1.3089567919006575,4.754209418642512,47.54504806594791,2.890389919281006,3.973388433456421,1,-5.7383490019274745
5,11,emergent,0.0032958901858706,1.2033763468335756,38.785163050604886,47.559970182517105,3.9030752182006836,3.9569616317749023,1,-5.7150789848835775
6,0,growing,0.0075070787916922,-0.27497839593087603,43.643743827156015,38.262702960506324,3.963409423828125,3.8605399131774902,1,-4.891908864683438
6,1,growing,0.0046686592193242,0.03344761314950646,26.95504313180489,40.57171315367873,3.7626538276672363,3.9034299850463867,1,-5.366883353593646
6,2,emergent,0.0021840761133717,0.711602049691195,37.50767502637125,42.65880438875106,3.9067959785461426,3.9105982780456543,1,-6.126562371261824
6,3,emergent,0.0017494686832883,1.2540018509713886,23.395019588523773,26.055406949570628,3.6707143783569336,3.649722099304199,1,-6.348443146694968
6,4,growing,0.0082952732201021,1.2892287513421858,37.044165739607465,39.969231908066064,3.8952863216400146,3.899139881134033,1,-4.792069417955456
6,5,emergent,0.0013391248597624,0.8674350933433521,46.263925505695056,44.06663876998587,4.002945423126221,3.9444637298583984,1,-6.615738968104865
6,6,born,0.0016118870319929,-1.8124424133755976,5.775799028992649,38.43434938662524,2.7289018630981445,3.811030864715576,0,-6.430349716762248
6,7,emergent,0.0050767720043689,0.7671840272077253,49.116888053766836,47.464653337926975,4.029067039489746,3.9617505073547363,1,-5.283079651575205
6,8,growing,0.0012303029103624,0.541624026396877,30.16845604321455,31.976460148160996,3.765944480895996,3.7641658782958984,1,-6.700494871329624
6,9,growing,0.0006340656721399,-0.41769545223884735,44.41956357159859,45.03996909566985,3.98823881149292,3.9463486671447754,1,-7.3633580250746045
6,10,growing,0.0048128489401236,0.48155953411004343,18.097699196828323,47.743207860141226,3.653017520904541,3.9403469562530518,1,-5.336466074958072
6,11,growing,0.0030055178344212,-1.4658610286344511,10.694625966915208,44.15255190759469,3.33848237991333,3.9101955890655518,1,-5.807305401574465
