layer_idx,head_idx,class,abs_delta,random_control,OV_PR,QK_PR,OV_entropy,QK_entropy,sigma_OV_max,sigma_QK_max,emergent_dummy
8,12,emergent,0.0024707075094121,-1.0092529222604711,54.93387981894413,49.91654261462586,4.0786895751953125,4.007960796356201,0.6377407312393188,0.8196693062782288,1
8,15,emergent,0.0012043656580628,-0.10300090829411661,33.70959567180086,12.447866187976015,3.8720693588256836,3.219115972518921,0.6483138203620911,2.2017455101013184,1
9,0,emergent,0.0009622353921513,-0.9227655074026292,53.03108324427457,47.01721858075663,4.0687761306762695,3.9529366493225098,0.6368839740753174,1.2906843423843384,1
9,3,emergent,0.0019879837682064,0.691384431236268,46.00655520924594,46.21246161424274,4.023526191711426,3.9623725414276123,0.9498139023780823,1.1839053630828857,1
9,6,growing,0.0012389137664473,-0.7147579791324894,49.96378703746422,43.628937679913015,4.040780067443848,3.896071672439575,0.9315134286880493,1.6372606754302979,1
9,9,growing,0.0030624873212712,-2.720988169819431,50.48799275511159,52.52005389472744,4.049543380737305,4.041286945343018,0.6274450421333313,0.9521610140800476,1
9,12,growing,0.0005613441024011,-0.6235163594377152,36.20272068590421,44.37603000674963,3.9035675525665283,3.9436941146850586,0.7336286902427673,1.1091586351394653,1
9,15,emergent,0.003467543775291,-1.169164373581405,49.25339960076235,46.4665128255673,4.028777122497559,3.9743728637695312,1.0036849975585938,0.967000424861908,1
10,0,never,0.0001317253811756,0.8831818476344756,55.38754274245704,47.029175633791105,4.0868353843688965,3.9395785331726074,0.5081123113632202,1.3032071590423584,0
10,3,growing,0.0011789558475339,-0.6594919041294668,57.96688600093415,37.47493437049126,4.10628604888916,3.7957587242126465,0.6315929293632507,1.6123409271240234,1
10,6,emergent,0.0015551958285619,0.38421730840829865,48.51868496906037,47.15155698033501,4.018163681030273,3.969365119934082,1.000122308731079,1.0077794790267944,1
10,9,never,0.0001391718902184,2.0166244141482865,52.74243522266996,48.7107056364584,4.065987586975098,3.9582338333129883,0.5440900921821594,1.4353529214859009,0
10,12,emergent,0.0029872076658598,0.7586624928308812,31.56180607581315,42.773058137224844,3.797639846801758,3.929598808288574,1.2730841636657715,0.7065094113349915,1
10,15,emergent,0.0023694046463584,-0.13242155193311636,34.709095516120385,49.1355045145807,3.913552761077881,3.9812309741973877,1.1397881507873535,0.907322883605957,1
11,0,emergent,0.0022258400413281,-0.6237235483950675,49.393597801163715,45.39987690110716,4.030844211578369,3.946108341217041,0.8740889430046082,1.0322377681732178,1
11,3,emergent,0.0013507795916197,-0.6576133021042132,43.96001810837747,48.962668847493504,3.9793267250061035,3.998398780822754,0.9823942184448242,0.8489208221435547,1
11,6,never,0.0004073781291155,-0.5190520316807467,49.85219555605706,44.49058240957694,4.044486999511719,3.901402473449707,0.9378569722175598,1.557924509048462,0
11,9,emergent,0.0016091319026957,-1.204970792071176,58.688243661689704,51.48749498121618,4.115744113922119,4.027595520019531,0.5799453258514404,0.6468309164047241,1
11,12,emergent,0.0021071081258869,1.3089567919006575,51.70500667165577,42.103331549941956,4.053108215332031,3.911114454269409,0.856745719909668,1.273057222366333,1
11,15,emergent,0.0020559982954418,1.2033763468335756,53.909924580516574,48.368472057135946,4.077059745788574,3.9725122451782227,0.6284052729606628,1.1742832660675049,1
12,0,emergent,0.0063076383667982,-0.27497839593087603,13.686395850169331,29.55217139054668,3.264529228210449,3.727646827697754,2.246675968170166,1.2689399719238281,1
12,3,never,2.360259752845023e-05,0.03344761314950646,48.602038692214144,50.47678189414936,4.051917552947998,4.011069297790527,1.0634983777999878,1.120476484298706,0
12,6,emergent,0.0008171636770092,0.711602049691195,53.89974552557081,49.005053724838405,4.07260799407959,3.991107940673828,0.8076907992362976,1.0538151264190674,1
12,9,emergent,0.0030715101949386,1.2540018509713886,42.468811003786506,40.10410273718027,3.94480037689209,3.876420259475708,0.8319586515426636,1.4244030714035034,1
12,12,emergent,0.0017151605617896,1.2892287513421858,54.52273757472591,40.44794921364671,4.067152976989746,3.885685443878174,1.186013102531433,0.8034123778343201,1
12,15,emergent,0.0006554510917919,0.8674350933433521,52.919261789947676,45.79446083839982,4.0694379806518555,3.975093364715576,0.755416214466095,1.1375433206558228,1
13,0,emergent,0.0014145695935745,-1.8124424133755976,51.63526384170831,50.056012175488455,4.051578044891357,4.0086259841918945,0.6848366856575012,0.8576637506484985,1
13,3,emergent,0.0024349457981368,0.7671840272077253,56.299184956041366,50.47334189991577,4.092869758605957,4.006227016448975,0.5988380908966064,0.8324798345565796,1
13,6,growing,0.0051409702485349,0.541624026396877,30.814903865656543,39.49511207861423,3.828387975692749,3.872479200363159,1.1016368865966797,1.3804820775985718,1
13,9,never,0.0003415104917767,-0.41769545223884735,55.716427361711986,50.469611215730055,4.089883804321289,4.009330749511719,0.8240079879760742,0.916557252407074,0
13,12,growing,0.0022289433030683,0.48155953411004343,53.81047416612106,47.09912308548598,4.0732903480529785,3.998796224594116,0.6203269958496094,1.020253300666809,1
13,15,emergent,0.0021325838930947,-1.4658610286344511,39.1225059277403,45.811512318320936,3.919487953186035,3.9401819705963135,0.9610987901687622,1.2639400959014893,1
14,0,never,0.0003743569178465,-0.15207222830243025,50.950537239729385,40.8903056055923,4.038501739501953,3.8769772052764893,0.6353910565376282,1.6155122518539429,0
14,3,never,0.0001233785634666,-1.1855260085651762,11.945029704930498,2.478710543335416,3.5725269317626953,1.8740098476409912,0.6462559103965759,14.426460266113281,0
14,6,never,4.520011201952266e-05,-0.276787745085543,57.37739477271131,51.84706927552879,4.104728698730469,4.028750419616699,0.7215874195098877,1.01655912399292,0
14,9,emergent,0.000766993729238,-0.016784962977418435,56.15543565029507,50.68758249019617,4.096147060394287,4.009086608886719,0.7778843641281128,0.9300298094749451,1
14,12,growing,0.0041171939771777,-0.05458429075975533,39.51456052764601,26.00953212819759,3.915137767791748,3.7208263874053955,0.7526417970657349,2.043689012527466,1
14,15,growing,0.0007977526264221,-0.1455225918115129,54.5783649372635,47.04266196812038,4.082164764404297,3.9697723388671875,0.6943932175636292,1.0471112728118896,1
15,0,emergent,0.002526543135897,-0.05886633588256899,19.483693367829158,47.026602752173254,3.518770694732666,3.936986207962036,1.2173875570297241,1.0040010213851929,1
15,3,emergent,0.0012090617735974,-1.922201447699087,53.05413562175554,42.02899507907033,4.060280799865723,3.9095799922943115,0.6951279640197754,1.4929696321487427,1
15,6,emergent,0.0010312821414109,-1.0803737640343434,47.71504564859657,2.276440453034152,4.025864601135254,1.9841866493225098,0.3133329451084137,7.309123516082764,1
15,9,emergent,0.0042236612481858,0.3845366267675747,55.08654505721418,52.053992971583035,4.087814807891846,4.030984401702881,0.6133968234062195,0.6765263676643372,1
15,12,never,8.616250742256467e-05,0.5572345604413498,32.49577470403134,1.3824752109323333,3.9391379356384277,1.0128291845321655,0.5708328485488892,17.232614517211914,0
15,15,never,0.0001076017258843,-0.23537726563327374,51.940693642855216,48.348967604197334,4.0555853843688965,3.9818291664123535,0.7962965965270996,1.24684739112854,0
16,0,emergent,0.0011122802408791,-0.8470606899695202,52.49393535323649,46.993807009738255,4.057015419006348,3.975513458251953,0.9512559175491333,0.9500412344932556,1
16,3,emergent,0.0009927040799485,-0.44409514484450274,42.47079018268997,44.127121420820394,4.006680488586426,3.9146947860717773,1.2119206190109253,1.3570841550827026,1
16,6,emergent,0.000588894207159,1.8637230231810213,34.914735870514015,43.32314816931035,3.9307868480682373,3.922034740447998,1.310426950454712,1.2399238348007202,1
16,9,never,0.0001126606031526,0.7491378825160465,48.51242015653586,1.1273549415589499,4.0201263427734375,0.4505370259284973,0.7614334225654602,25.712398529052734,0
16,12,emergent,0.0032505693866948,0.9572619605611445,55.06941966058065,39.43226956183657,4.079380512237549,3.8792834281921387,0.6675685048103333,1.348667025566101,1
16,15,growing,0.0056440581143373,0.8189416618394685,46.20308087487645,33.73718211854632,3.9711899757385254,3.793558359146118,0.9399495720863342,1.3728604316711426,1
17,0,growing,0.0009341477404608,-2.1975422693935633,45.68752687766116,37.643297202514276,4.0109453201293945,3.841852903366089,1.1145769357681274,1.8209683895111084,1
17,3,never,0.0002300437045113,-0.009968523491272634,57.388023225979666,36.50999451917402,4.102295875549316,3.8338186740875244,0.8748854994773865,1.7002507448196411,0
17,6,emergent,0.001114994358214,1.5261824682415945,45.37397892015265,42.39030205849573,3.983912467956543,3.9113826751708984,1.2145020961761475,1.4243732690811157,1
17,9,never,0.0001274711753895,-0.24021410940031965,51.75811460624677,1.3999304124662368,4.0514421463012695,0.9985700249671936,0.6113674640655518,17.090364456176758,0
17,12,never,0.000232533569138,1.1232565370902015,51.3927047675945,1.3413454955555018,4.049318313598633,0.9111794233322144,0.4960251748561859,18.814956665039062,0
17,15,emergent,0.0008203164062585,0.2904160226948521,42.36933043679291,40.98133321274243,3.9264116287231445,3.8870129585266113,1.2905068397521973,1.5227174758911133,1
18,0,emergent,0.0012677994939519,-0.29814383211351414,50.675877749797316,39.02593166424403,4.048317909240723,3.8427155017852783,1.2152342796325684,1.5677900314331055,1
18,3,never,8.732334497042324e-05,1.5924599977310379,54.09086835859244,1.168398884898889,4.069527626037598,0.535295844078064,0.36037352681159973,28.12887954711914,0
18,6,emergent,0.0005294507503407,-2.7658122332538486,57.342420105239654,1.1489412902148362,4.106882572174072,0.5091941356658936,0.5516505837440491,26.82550811767578,1
18,9,never,0.0004107056435637,1.3139493550397312,57.93152957779529,1.3013517683055402,4.107038497924805,0.8657971024513245,0.5805408954620361,16.46343994140625,0
18,12,growing,0.0010449747479413,-0.11865220900323353,54.30121187327631,22.621444145056596,4.075638771057129,3.6448304653167725,1.2207704782485962,2.259603261947632,1
18,15,growing,0.0030610296786685,-0.1608364743599547,4.0109414209783285,24.581010168825568,2.4524736404418945,3.627413272857666,2.984588146209717,1.978980541229248,1
19,0,never,0.000321205728191,0.38342364527300554,57.541910136206845,50.6591336561086,4.107624053955078,4.007269859313965,0.9236221313476562,1.2463672161102295,0
19,3,growing,0.0014207332452136,1.3341498577593605,39.89761512125265,1.1292795588581666,3.937385320663452,0.42062821984291077,0.6034112572669983,25.93449592590332,1
19,6,growing,0.0008821277078477,0.30523328744646194,49.50804506460152,33.26139548314299,4.032691955566406,3.770352363586426,1.5299628973007202,1.7142834663391113,1
19,9,emergent,0.0026962100965843,1.1330395050890067,53.341689648830766,29.643610494870977,4.06296443939209,3.7597239017486572,1.0565401315689087,1.9441003799438477,1
19,12,emergent,0.0005317460427648,-0.49749155757296276,49.626294817899634,1.8777244412192398,4.047940731048584,1.5910720825195312,1.1304904222488403,9.052123069763184,1
19,15,never,4.508138999731907e-06,-1.3237608531800493,10.46498568438339,1.0967999569120368,3.3715524673461914,0.34964704513549805,0.6114575862884521,51.78562927246094,0
20,0,never,0.000162533745869,1.6718546373012275,58.09448540764963,1.1325129766588704,4.1121625900268555,0.46237555146217346,0.4494500756263733,34.45768356323242,0
20,3,never,0.0001950635798803,0.3161693831598306,56.9966244324112,2.482894159460903,4.099323749542236,2.0449414253234863,0.38891831040382385,11.900056838989258,0
20,6,growing,0.0047380573865779,1.2116540275849985,33.0628737641276,29.56752139723761,3.7966432571411133,3.750751256942749,1.6114171743392944,1.680965781211853,1
20,9,emergent,0.0009567708813082,-0.35530058248941077,37.25325583793159,45.350919612908235,3.9707415103912354,3.9522528648376465,1.4973787069320679,1.420959234237671,1
20,12,never,0.000123982067078,0.12381574715403841,2.514858735228774,3.266108518466416,1.6484816074371338,2.275167465209961,2.790987968444824,9.947866439819336,0
20,15,never,0.0002904204483353,-0.7046789252167275,57.81903229599543,1.3036187432101507,4.106047630310059,0.864158570766449,0.752615749835968,16.717119216918945,0
21,0,never,6.635571676231405e-05,-0.12170912727246856,51.49852522809121,1.2542114823609356,4.05827522277832,0.7250441312789917,0.4975106418132782,26.65663719177246,0
21,3,never,9.454889913875812e-06,0.7430679488232456,32.7645592832136,1.0889757776947715,3.940640687942505,0.3161507546901703,0.3299359977245331,79.53639221191406,0
21,6,never,9.905044247090548e-05,0.64460351179642,47.21472614511757,5.972081477484127,4.033797264099121,2.725724220275879,0.7754173278808594,6.356901168823242,0
21,9,never,0.0002913174591678,-2.942443521483255,49.520208181039244,1.1721546821889588,4.062704563140869,0.5693268179893494,0.9217697381973267,28.478635787963867,0
21,12,never,9.108617349947164e-06,-0.4371220733043535,12.960390356908501,1.1562162514629193,3.5575380325317383,0.5179901123046875,1.980838418006897,28.29233741760254,0
21,15,never,0.0001019459406725,-0.15508870624223442,26.734718740830747,1.4059774987339633,3.8874423503875732,1.039427638053894,1.327024221420288,19.236814498901367,0
22,0,never,8.817418612768057e-05,0.9486440024390174,24.54105475967539,1.1769748517225824,3.804893732070923,0.5255284309387207,0.4899742603302002,40.597591400146484,0
22,3,growing,0.0006204610736592,-0.17921903353162255,44.855322506794664,1.19005068987443,3.9853291511535645,0.5136336088180542,0.4340784251689911,39.111751556396484,1
22,6,growing,0.0009073462440079,-0.5503472361413485,8.945374502286908,1.663110925502322,3.236889600753784,1.155475378036499,1.5189712047576904,26.976720809936523,1
22,9,never,0.0001745642440922,-1.4034004663816775,57.519124970924054,1.1098573883885114,4.106917381286621,0.3938356041908264,0.6244736909866333,37.36206817626953,0
22,12,never,4.003240623123824e-05,-0.918637483491737,56.256751811738205,1.301222119637561,4.094573974609375,0.8468232154846191,0.5697101950645447,24.959060668945312,0
22,15,never,4.485054163262825e-07,1.3375233930619237,29.362873238856434,2.3897763238662626,3.877903461456299,1.7023520469665527,0.2860351502895355,20.39354705810547,0
23,0,never,1.650236104959635e-05,0.8776368743029606,56.39345795578997,1.374120724640667,4.096652984619141,0.9298973083496094,0.37402811646461487,17.572154998779297,0
23,3,never,7.31954243596774e-05,-1.1079084949920843,57.052542398875396,3.0205788655336994,4.101361274719238,2.2447736263275146,0.4456443190574646,9.003585815429688,0
23,6,never,0.0001317187855077,-0.13569706452729408,58.88800303484867,6.213054940478337,4.115239143371582,2.7029061317443848,0.26313701272010803,8.605177879333496,0
23,9,never,0.0002985397155026,-0.14392969615577114,26.342410672558046,8.643629388824571,3.817016839981079,2.767153263092041,0.6235385537147522,8.744429588317871,0
23,12,never,0.0003683944340781,-2.5217447055195388,55.995843479974205,3.2796442024350414,4.091128349304199,2.2658896446228027,0.3028911054134369,10.837543487548828,0
23,15,never,6.21377871495084e-05,-0.4267236212478925,54.70946575153326,10.866998236491575,4.077710151672363,3.1051597595214844,0.29468801617622375,6.099705696105957,0
