layer_idx,head_idx,OV_PR,QK_PR,OV_entropy,QK_entropy,OV_PR_143k,QK_PR_143k,OV_en_143k,QK_en_143k,class,abs_delta_this_ckpt
15,9,49.14168919935308,45.157087558159624,4.017032146453857,3.9508273601531982,55.08654505721418,52.053992971583035,4.087814807891846,4.030984401702881,emergent,0.0015712190750311
15,12,57.559366801726384,41.35787347304997,4.103419780731201,3.918302536010742,32.49577470403134,1.3824752109323333,3.939137935638428,1.0128291845321655,never,0.0002049928623394
15,15,42.042109458508975,36.85590632487899,3.946376323699951,3.8344202041625977,51.940693642855216,48.348967604197334,4.0555853843688965,3.9818291664123535,never,0.0001094222762017
16,0,46.435629112731824,36.16547527961078,3.9815592765808105,3.8426899909973145,52.49393535323649,46.993807009738255,4.057015419006348,3.975513458251953,emergent,0.000465195037598
16,3,51.08486394557712,41.31496293282303,4.0359883308410645,3.8912110328674316,42.47079018268997,44.127121420820394,4.006680488586426,3.914694786071778,emergent,0.0007609589969742
16,6,38.31164113084703,38.34980626755747,3.93295955657959,3.8603315353393555,34.914735870514015,43.32314816931035,3.9307868480682377,3.922034740447998,emergent,6.263637042060699e-06
16,9,38.44546846227837,41.90347568567508,3.894658088684082,3.909008264541626,48.51242015653586,1.12735494155895,4.0201263427734375,0.4505370259284973,never,8.846248202620338e-05
16,12,48.71212131169025,34.17253616465629,4.004508972167969,3.805302619934082,55.06941966058065,39.43226956183657,4.079380512237549,3.8792834281921382,emergent,0.0025007130430849
16,15,35.81280368171592,29.252456949715953,3.7869338989257812,3.715254068374634,46.20308087487645,33.73718211854632,3.9711899757385254,3.793558359146118,growing,0.0031403057188287
17,0,48.38942966142561,37.5640869936637,4.01287841796875,3.8543105125427246,45.68752687766116,37.64329720251427,4.0109453201293945,3.841852903366089,growing,0.0004597910558823
17,3,51.1574479897088,38.82399233081074,4.035453796386719,3.868035316467285,57.388023225979666,36.50999451917402,4.102295875549316,3.833818674087525,never,0.0002025688165783
17,6,41.17350423593533,35.12464972313061,3.931175708770752,3.8312931060791016,45.37397892015265,42.39030205849573,3.983912467956543,3.9113826751708984,emergent,0.0009236677528031
17,9,46.98697919087697,35.648578995634466,3.992311716079712,3.83231782913208,51.75811460624677,1.3999304124662368,4.0514421463012695,0.9985700249671936,never,0.000297170391942
17,12,42.714200496078256,41.00288964266545,3.937803268432617,3.894009828567505,51.3927047675945,1.3413454955555018,4.049318313598633,0.9111794233322144,never,0.0006769740130082
17,15,23.58104747277855,39.57011112338906,3.5247550010681152,3.896144390106201,42.36933043679291,40.98133321274243,3.926411628723145,3.8870129585266113,emergent,0.0004245451875027
18,0,48.27992753042479,37.93537387304993,4.010745048522949,3.842514753341675,50.67587774979731,39.02593166424403,4.048317909240723,3.8427155017852783,emergent,0.0003709822816045
18,3,48.07517350647963,35.181621022662966,4.000823974609375,3.822556495666504,54.09086835859244,1.168398884898889,4.069527626037598,0.535295844078064,never,0.0003063137224447
18,6,53.522298364141285,34.94115961109971,4.069674491882324,3.8160042762756348,57.342420105239654,1.1489412902148362,4.106882572174072,0.5091941356658936,emergent,0.0002885009350467
18,9,52.64791904569392,40.69396179008133,4.056390762329102,3.90106463432312,57.93152957779529,1.3013517683055402,4.107038497924805,0.8657971024513245,never,0.000266462774649
18,12,45.889464982839385,37.29390143298985,3.9722487926483154,3.840864658355713,54.30121187327631,22.621444145056596,4.075638771057129,3.644830465316773,growing,0.0008842360008911
18,15,29.09154585075307,26.02727283413093,3.748490333557129,3.6371140480041504,4.0109414209783285,24.581010168825568,2.4524736404418945,3.627413272857666,growing,0.0005542772004954
19,0,53.97875674869257,40.26644910041974,4.072216987609863,3.8883039951324463,57.541910136206845,50.6591336561086,4.107624053955078,4.007269859313965,never,1.7256897204553333e-05
19,3,19.970992148985825,21.315928967790796,3.5739972591400146,3.5316247940063477,39.89761512125265,1.1292795588581666,3.937385320663452,0.4206282198429107,growing,0.0001139453390317
19,6,37.94471484732838,34.938423252923855,3.873396635055542,3.8049392700195312,49.50804506460152,33.26139548314299,4.032691955566406,3.770352363586426,growing,0.0006670803826271
19,9,43.143982033551914,29.596593179881687,3.9381563663482666,3.7464749813079834,53.341689648830766,29.643610494870977,4.06296443939209,3.7597239017486577,emergent,0.0015570970339988
19,12,49.381083757769645,36.43698596265364,4.019243240356445,3.833789825439453,49.626294817899634,1.87772444121924,4.047940731048584,1.5910720825195312,emergent,0.0009188956025641
19,15,49.31248359229138,46.43829725872981,4.022273540496826,3.9615960121154785,10.46498568438339,1.0967999569120368,3.3715524673461914,0.349647045135498,never,0.0039677042256883
20,0,57.00842815126912,38.87684992466144,4.098838806152344,3.88004732131958,58.09448540764963,1.1325129766588704,4.1121625900268555,0.4623755514621734,never,0.0002078695181488
20,3,48.19652731102148,34.072118161964006,4.01475191116333,3.815037727355957,56.9966244324112,2.482894159460903,4.099323749542236,2.0449414253234863,never,9.702258347346076e-05
20,6,23.649835390544077,27.601480587667037,3.5896859169006348,3.672750949859619,33.0628737641276,29.56752139723761,3.7966432571411137,3.750751256942749,growing,0.0014036895665418
20,9,50.600528398462636,30.049718171112897,4.043848991394043,3.7434000968933105,37.25325583793159,45.350919612908235,3.9707415103912354,3.9522528648376465,emergent,0.0003781086116241
20,12,33.96296103702033,19.440971908421773,3.8810830116271973,3.5144574642181396,2.514858735228774,3.266108518466416,1.6484816074371338,2.275167465209961,never,0.0002974255546536
